word/NN	(NN,1) (root,1) (word,1) 
was/VBD	(root,1) (was,1) (VBD,1) 
4/CD	(NNP,1) (CD,1) (4,1) (root,1) (Policeman,1) (VBG,1) (advcl,1) (acl,1) (sitting,1) 
ones/NNS	(NNS,1) (root,1) (ones,1) 
yo/VBP	(VBP,1) (yo,1) (root,1) 
edge/NN	(NN,2) (edge,1) (root,1) (thing,1) (compound,1) 
i/FW	(FW,1) (VBP,1) (root,1) (know,1) (i,1) (nsubj,1) 
great/JJ	(JJ,1) (MP3,1) (NNP,1) (VBN,1) (root,1) (filled,1) (nmod:'s,1) (amod,1) (great,1) 
superficiality/NN	(NN,1) (think,1) (VBP,1) (superficiality,1) (root,1) (dobj,1) 
what/WP	(estebitan,1) (what,1) (VBP,1) (root,1) (WP,1) (nsubj,1) 
'll/MD	(JJ,1) (sure,1) (ccomp,1) (im,1) (VBP,1) (aux,1) (work,1) (root,1) ('ll,1) (MD,1) (VB,1) (xcomp,1) 
yea/VB	(yea,1) (root,1) (VB,1) 
see/VB	(See,1) (see,1) (root,1) (VB,2) (dep,1) 
think/VB	(think,1) (discovered,1) (VBP,1) (root,1) (VBD,1) (come,1) (advcl,1) (VB,1) (xcomp,1) 
before/IN	(NN,3) (im,1) (VBP,1) (before,1) (IN,1) (one,1) (nmod:before,1) (acl,1) (VB,1) (dep,1) (hour,1) (someone,1) (root,1) (finish,1) (dobj,1) (case,1) 
all/DT	(all,1) (DT,1) (advmod,1) (VBP,1) (root,1) (know,1) 
sofa/NN	(NN,1) (NNP,1) (sofa,1) (root,1) (Policeman,1) (VBG,1) (acl,1) (dobj,1) (sitting,1) 
volviendo/NN	(NN,2) (root,1) (ustedes,1) (volviendo,1) (nsubj,1) (suyo,1) (appos,1) (VBZ,1) 
lo/RB	(JJ,1) (RB,1) (de,1) (NNP,1) (advmod,1) (lo,1) (VBP,1) (root,1) (parque,1) (nsubj,1) (amod,1) (linda,1) 
to/TO	(root,1) (nmod,1) (to,1) (TO,1) (VB,1) (listen,1) 
manufacture/VBP	(acl:relcl,1) (manufacture,1) (NNS,1) (VBP,2) (nmod:about,1) (root,1) (know,1) (factories,1) 
true/JJ	(JJ,1) (told,1) (root,1) (true,1) (VBD,1) (dep,1) 
^/NNP	(NNP,1) (VBP,1) (root,1) (nsubj,1) (^,2) 
anyway/RB	(RB,1) (NNP,1) (VBP,1) (root,1) (Ugh,1) (I,1) (nsubj,1) (dont,1) (dep,2) (PRP,1) (anyway,1) 
shoelaces/NNS	(NNS,1) (shoelaces,1) (root,1) (VBD,2) (conj:and,1) (dobj,1) (got,1) (put,1) 
power/NN	(NN,1) (NNS,1) (rangers,1) (root,1) (power,1) (compound,1) 
much/RB	(JJ,1) (screwed,1) (VBN,1) (nmod:with,1) (nmod,1) (VB,1) (RB,1) (advmod,1) (NNS,1) (ccomp,1) (yea,1) (root,1) (contacts,1) (much,1) (little,1) 
being/VBG	(NN,3) (think,1) (VBP,1) (being,1) (amod,1) (dep,1) (nmod:in,1) (root,1) (hypocrisy,1) (VBG,1) (dobj,1) (human,1) (combination,1) 
Poe/NNP	(kicking,1) (NNP,1) (VBN,1) (root,1) (Poe,1) (VBG,1) (dobj,1) (seen,1) (dep,1) 
never/RB	(RB,1) (never,1) (neg,1) (ccomp,1) (VBP,1) (root,1) (know,1) (say,1) (VB,1) 
ten/CD	(CD,1) (root,1) (ten,1) (nsubj,1) (tracks,1) (VBZ,1) 
Messeguer/NNP	(NNP,2) (Soundtrack,1) (root,1) (parataxis,1) (nsubj,1) (Messeguer,1) (tracks,1) (VBZ,1) 
Post/NNP	(NNP,1) (VBN,1) (Post,1) (root,1) (nmod:to,1) (VBG,1) (advcl,1) (talking,1) (scared,1) 
suck/VB	(ccomp,1) (VBP,1) (root,1) (know,1) (say,1) (VB,2) (suck,1) (dep,1) 
q/NN	(NN,1) (q,1) (unificar,1) (VBP,1) (root,1) (nsubj,1) 
around/RP	(walked,1) (compound:prt,1) (root,1) (VBD,1) (around,1) (RP,1) 
wont/NNP	(NNP,1) (root,1) (wont,1) (parataxis,1) (invite,1) (VB,1) (nsubj,1) (tracks,1) (VBZ,1) 
sony/JJ	(NN,1) (JJ,1) (NNS,1) (tv,1) (sony,1) (root,1) (VBD,1) (had,1) (dobj,1) (amod,1) (compound,1) (couches,1) 
Let/VB	(told,1) (root,1) (VBD,1) (Let,1) (VB,1) (dep,1) 
an/DT	(NN,1) (DT,1) (Company,1) (det,1) (root,1) (an,1) 
cant/VBZ	(NN,1) (root,1) (cant,1) (parataxis,1) (word,1) (VBZ,1) 
help/VB	(acl:relcl,1) (help,1) (NNS,1) (root,1) (ones,1) (VB,1) 
getting/VBG	(getting,1) (give,1) (VBP,1) (root,1) (VBG,1) (conj:and,1) 
by/IN	(NNP,1) (VBN,1) (IN,1) (caused,1) (root,1) (by,1) (Sadr,1) (nmod:agent,1) (case,1) 
invert/VBN	(VBN,1) (invert,1) (root,1) 
while/IN	(ccomp,1) (IN,1) (Tell,1) (root,1) (enjoy,1) (advcl,1) (has,1) (VB,2) (while,1) (mark,1) (VBZ,1) 
something/NN	(NN,1) (VBP,1) (nmod:about,1) (want,1) (root,1) (VB,1) (write,1) (xcomp,1) (something,1) 
so/RB	(RB,1) (give,1) (advmod,1) (VBP,1) (root,1) (so,1) 
have/VBP	(NNS,1) (VBP,1) (aux,1) (root,1) (have,1) (dobj,1) (says,1) (people,1) (VBZ,1) 
love/NN	(NN,2) (love,1) (root,1) (VBD,1) (had,1) (dobj,1) (dep,1) (ve,1) 
moment/NN	(NN,2) (VBN,1) (read,1) (VBP,1) (learned,1) (nmod:near,1) (VB,1) (xcomp,1) (bye,1) (moment,1) (nmod:in,1) (root,1) (advcl,1) (time,1) 
Union/NNP	(Carbide,1) (NNP,2) (VBP,1) (nmod:about,1) (root,1) (know,1) (compound,1) (Union,1) 
trying/VBG	(getting,1) (give,1) (VBP,1) (trying,1) (root,1) (VBG,2) (conj:and,1) (dep,1) 
de/NNP	(de,1) (NNP,1) (VBP,1) (root,1) (parque,1) (nsubj,1) 
textpert/NN	(NN,1) (VBP,1) (root,1) (VBG,1) (Do,1) (nsubj,1) (choking,1) (dep,1) (textpert,1) 
which/WDT	(That,1) (DT,1) (which,1) (ref,1) (WDT,1) (root,1) (nsubj,1) (says,1) (VBZ,1) 
email/NN	(NN,2) (told,1) (root,1) (me,1) (VBD,1) (roberto,1) (dobj,1) (nsubj,1) (compound,1) (email,1) (PRP,1) 
Felipe/NNP	(NNP,3) (Soundtrack,1) (Felipe,1) (root,1) (parataxis,1) (nsubj,1) (Messeguer,1) (compound,1) (tracks,1) (VBZ,1) 
cake/NN	(JJ,1) (NN,2) (nmod:of,1) (cake,1) (root,1) (VBD,1) (dobj,1) (got,1) (compound,1) (icing,1) (full,1) 
parque/VBP	(VBP,1) (root,1) (parque,1) 
would/MD	(ccomp,1) (would,1) (VBP,1) (aux,1) (root,1) (MD,1) (know,1) (say,1) (VB,1) 
any/DT	(DT,1) (ccomp,1) (VBP,1) (root,1) (know,1) (say,1) (VB,1) (nsubj,1) (any,1) 
around/RB	(JJ,1) (screwed,1) (VBN,1) (nmod:with,1) (nmod,1) (VB,1) (around,1) (RB,1) (advmod,1) (NNS,1) (ccomp,1) (yea,1) (root,1) (contacts,1) (little,1) 
care/VBP	(acl:relcl,1) (NNS,1) (VBP,1) (root,1) (ones,1) (care,1) 
and/CC	(CC,1) (cc,1) (and,1) (root,1) (says,1) (VBZ,1) 
hour/NN	(NN,2) (im,1) (hour,1) (VBP,1) (root,1) (one,1) (finish,1) (acl,1) (dobj,1) (VB,1) (dep,1) 
squared/NNS	(NN,1) (small,1) (JJ,1) (tv,1) (had,1) (amod,1) (compound,1) (couches,1) (NNS,2) (root,1) (VBD,1) (squared,1) (nmod:like,1) (dobj,1) 
you/PRP	(VBP,1) (root,1) (know,1) (nsubj,1) (you,1) (PRP,1) 
problems/NNS	(VBP,1) (makes,1) (VB,1) (doesnt,1) (VBZ,1) (NNS,1) (ccomp,3) (root,1) (VBD,1) (forguet,1) (dobj,1) (heard,1) (problems,1) 
lets/VBZ	(root,1) (lets,1) (VBZ,1) 
scks/VBZ	(root,1) (scks,1) (VBZ,1) 
pacuare/NN	(NN,1) (NNS,1) (ccomp,1) (root,1) (nmod:en,1) (escaleras,1) (pacuare,1) (ustedes,1) (al,1) (dobj,1) (VBZ,2) 
