was/VBD	(root,1) (was,1) (VBD,1) 
i/FW	(FW,1) (root,1) (go,1) (i,1) (VB,1) (dobj,1) 
great/JJ	(NN,1) (JJ,1) (weekend,1) (root,1) (amod,1) (great,1) 
gym/NN	(NN,2) (root,1) (gym,1) (class,1) (compound,1) 
could/MD	(aux,1) (could,1) (root,1) (MD,1) (go,1) (VB,1) 
cracking/JJ	(NN,1) (JJ,1) (made,1) (root,1) (sound,1) (VBD,1) (dobj,1) (amod,1) (cracking,1) 
online/NN	(NN,1) (VBP,1) (root,1) (have,1) (online,1) (come,1) (advcl,1) (VB,1) (xcomp,1) 
what/WP	(think,1) (what,1) (VBP,1) (root,1) (WP,1) (dobj,1) 
bother/VB	(decided,1) (think,1) (ccomp,1) (bother,1) (VBP,1) (root,1) (VBD,1) (VB,1) (xcomp,1) 
counts/NNS	(NNS,1) (VBN,1) (nmod:with,1) (counts,1) (root,1) (charged,1) 
'll/MD	(NN,1) (aux,1) (root,1) ('ll,1) (MD,1) (fun,1) 
killers/NNS	(NNS,1) (killers,1) (root,1) 
awesome/JJ	(NN,1) (JJ,1) (awesome,1) (person,1) (root,1) (amod,1) 
see/VB	(see,1) (get,1) (root,1) (VB,2) (xcomp,1) 
evening/NN	(NN,1) (root,1) (came,1) (VBD,1) (conj:and,1) (evening,1) 
does/VBZ	(NN,1) (aux,2) (does,1) (weekend,1) (root,1) (has,1) (VBZ,2) 
think/VB	(think,1) (ccomp,1) (guess,1) (VBP,1) (root,1) (VB,1) 
before/IN	(aux,1) (before,1) (IN,1) (root,1) (VBD,2) (graded,1) (advcl,1) (VB,1) (write,1) (did,1) (mark,1) 
switch/NN	(NN,1) (root,1) (switch,1) 
all/DT	(all,1) (DT,1) (nmod:at,1) (root,1) ('s,1) (VBZ,1) 
So/CC	(CC,1) (cc,1) (VBN,1) (root,1) (So,1) (tripped,1) 
to/TO	(root,1) (go,1) (to,1) (TO,1) (VB,1) (mark,1) 
guess/VBP	(guess,1) (VBP,1) (root,1) 
marching/VBG	(wish,1) (stopped,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (marching,1) (VBG,1) (xcomp,1) 
ok/JJ	(JJ,1) (conj:but,1) (going,1) (root,1) (VBG,1) (ok,1) 
never/RB	(RB,1) (never,1) (neg,1) (ccomp,1) (forgive,1) (root,1) (reading,1) (VBD,1) (VBG,1) (conj:and,1) (said,1) (VB,1) 
Yeah/UH	(UH,1) (VBP,1) (tell,1) (root,1) (Yeah,1) (discourse,1) 
ten/CD	(CD,1) (aux,1) (nummod,1) (minutes,1) (VB,1) (NNS,1) (nmod:in,1) (root,1) (VBD,2) (graded,1) (advcl,1) (ten,1) (write,1) (did,1) 
seventh/JJ	(JJ,2) (aux,1) (seventh,1) (root,1) (have,1) (VB,1) (good,1) (xcomp,1) 
huge/JJ	(NN,1) (JJ,1) (taught,1) (root,1) (lesson,1) (VBD,1) (huge,1) (amod,1) (xcomp,1) 
math/NN	(NN,2) (test,1) (root,1) (math,1) (compound,1) 
enough/RB	(JJ,2) (RB,1) (advmod,1) (ccomp,2) (VBP,1) (root,1) (glad,1) (enough,1) (secure,1) (o,1) 
an/DT	(NN,1) (DT,1) (det,1) (person,1) (root,1) (an,1) 
getting/VBG	(getting,1) (root,1) (VBG,1) 
still/RB	(RB,1) (advmod,1) (NNS,1) (still,1) (killers,1) (root,1) 
ride/VB	(root,1) (VBD,1) (VB,1) (got,1) (ride,1) (xcomp,1) 
Crayon/NNP	(NNP,2) (VBP,1) (root,1) (X,1) (nsubj,1) (compound,1) (o,1) (Crayon,1) 
so/RB	(RB,1) (think,1) (advmod,1) (VBP,1) (root,1) (so,1) 
have/VBP	(VBP,1) (root,1) (have,1) 
subject/NN	(NN,1) (subject,1) (root,1) (VBG,1) (changing,1) (dobj,1) 
which/WDT	(love,1) (which,1) (VBP,1) (WDT,1) (root,1) (VBD,1) (dobj,1) (got,1) (dep,1) 
Hopefully/RB	(NN,1) (RB,1) (advmod,1) (root,1) (Hopefully,1) (fun,1) 
stuff/NN	(NN,1) (root,1) (stuff,1) 
would/MD	(would,1) (aux,1) (get,1) (root,1) (MD,1) (VB,1) 
and/CC	(CC,1) (cc,1) (and,1) (root,1) (go,1) (VB,1) 
hour/NN	(wish,1) (NN,1) (advmod,1) (VBN,1) (ccomp,1) (hour,1) (VBP,1) (root,1) (gone,1) 
psycho/NN	(NN,1) (VBP,1) (get,1) (root,1) (dobj,1) (psycho,1) 
you/PRP	(VBP,1) (root,1) (have,1) (nsubj,1) (you,1) (PRP,1) 
person/NN	(NN,1) (person,1) (root,1) 
saw/VBD	(NN,1) (acl:relcl,1) (root,1) (one,1) (was,1) (saw,1) (VBD,2) (nsubj,1) 
Not/RB	(RB,1) (Not,1) (wan,1) (VBP,1) (aux,1) (root,1) (do,1) (VB,1) (dep,1) 
put/VB	(babysitting,1) (root,1) (I,1) (VBG,1) (advcl,1) (acl,1) (VB,2) (nsubj,1) (write,1) (put,1) (PRP,1) 
33/35/CD	(33,1) (35,1) (get,1) (root,1) (VB,1) (dobj,1) 
stupid/JJ	(NN,1) (JJ,1) (stupid,1) (nmod:because_of,1) (VBN,1) (root,1) (reduced,1) (union,1) (VB,1) (amod,1) (make,1) (xcomp,1) 
myself/PRP	(went,1) (root,1) (myself,1) (VBD,1) (nsubj:xsubj,1) (VB,1) (xcomp,1) (stay,1) (PRP,1) 
for/IN	(aux,1) (IN,1) (root,1) (for,1) (VBD,1) (VB,1) (write,1) (did,1) (mark,1) 
right/JJ	(JJ,1) (root,1) (right,1) 
way/NN	(NN,2) (root,1) (came,1) (VBD,1) (dobj,1) (compound,1) (way,1) (home,1) 
up/RB	(getting,1) (RB,1) (advmod,1) (VBP,1) (aux,1) ('m,1) (root,1) (VBG,1) (up,1) 
sort/NN	(NN,1) (advmod,1) (VBP,1) (root,1) (sort,1) (complain,1) 
about/RP	(compound:prt,1) (wan,1) (needed,1) (felt,1) (about,1) (parataxis,1) (VB,2) (xcomp,1) (ccomp,1) (root,1) (VBD,2) (talk,1) (RP,1) 
decided/VBD	(decided,1) (think,1) (ccomp,1) (VBP,1) (root,1) (VBD,1) 
more/RBR	(think,1) (advmod,1) (ccomp,1) (RBR,1) (guess,1) (VBP,1) (more,1) (root,1) (VB,1) 
too/RB	(RB,1) (advmod,1) (need,1) (VBP,1) (too,1) (root,1) 
minutes/NNS	(NNS,1) (nmod:in,1) (aux,1) (minutes,1) (root,1) (VBD,2) (graded,1) (advcl,1) (VB,1) (write,1) (did,1) 
go/VBP	(VBP,2) (root,1) (have,1) (go,1) (is,1) (advcl,2) (VBZ,1) 
work/VB	(NN,1) (VBP,1) (work,1) (root,1) (have,1) (appointment,1) (dobj,1) (VB,1) (dep,1) 
they/PRP	(think,1) (VBP,1) (root,1) (nsubj,1) (they,1) (PRP,1) 
actually/RB	(actually,1) (RB,1) (advmod,1) (root,1) (VB,1) (write,1) 
out/RP	(compound:prt,1) (root,1) (go,1) (VB,1) (RP,1) (out,1) 
up/RP	(brought,1) (compound:prt,1) (root,1) (VBD,1) (up,1) (RP,1) 
past/JJ	(NN,1) (JJ,1) (entry,1) (past,1) (root,1) (reading,1) (VBG,1) (dobj,1) (amod,1) 
