returns/VBZ	(root,1) (returns,1) (VBZ,1) 
Divisions/NNP	(NNP,1) (VBN,1) (nsubjpass,1) (root,1) (Divisions,1) (re-titled,1) 
great/JJ	(JJ,1) (root,1) (great,1) 
2000/NNS	(NN,1) (acl:relcl,1) (rain,1) (Years,1) (nmod:into,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) 
replay/NN	(NN,2) (VBP,1) (root,1) (replay,1) (nsubj,1) (nmod:for,1) (look,1) (nnnnice,1) 
tennis/NN	(NN,2) (root,1) (championship,1) (have,1) (VB,1) (dobj,1) (compound,1) (tennis,1) 
domain/NN	(NN,2) (VBP,1) (root,1) (domain,1) (name,1) (google,1) (nsubj,1) (compound,1) 
Also/RB	(RB,1) (advmod,1) (VBN,1) (VBP,1) (root,1) (born,1) (Also,1) (urlLink,1) (dep,1) 
1930/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (1930,1) (month,1) (root,1) (VBD,1) (nsubj,1) 
see/VB	(JJ,1) (see,1) (able,1) (root,1) (VB,1) (xcomp,1) 
does/VBZ	(does,1) (root,1) (VBZ,1) 
think/VB	(JJ,1) (NN,1) (think,1) (James,1) (blog,1) (amod,1) (VB,1) (NNP,1) (ccomp,1) (convinced,1) (root,1) (VBG,1) (page,1) (nsubj,2) 
Good/NNP	(NN,1) (NNP,2) (answer,1) (root,1) (VB,1) (Schumacher,1) (Good,1) (compound,1) (urlLink,1) (dep,1) (iobj,1) 
Orbison/NNP	(NNP,2) (Orbison,1) (VBP,1) (Shakespeare,1) (root,1) (nsubj,1) (urlLink,1) (appos,1) 
to/TO	(root,1) (have,1) (to,1) (TO,1) (VB,1) (mark,1) 
1976/CD	(NN,1) (nmod:without,1) (1976,1) (rain,1) (NNP,1) (CD,1) (NNS,1) (month,1) (nummod,1) (root,1) (nsubj,1) (years,1) 
office/NN	(broken,1) (NN,1) (NNS,1) (VBN,1) (records,1) (root,1) (office,1) (dobj,1) (compound,1) 
captain/NN	(NN,1) (NNP,1) (brought,1) (VBN,2) (root,1) (pledged,1) (Gerrard,1) (conj:and,1) (captain,1) (nsubj,1) (compound,1) 
visible/JJ	(JJ,1) (visible,1) (last,1) (root,1) (conj:and,1) (VB,1) 
towards/IN	(JJ,1) (acl:relcl,1) (play,1) (NN,1) (dep,1) (xcomp,1) (NNS,1) (ccomp,2) (root,1) (won,1) (VBD,2) (VBG,1) (end,1) (case,1) (BUT,1) (VBP,1) (IN,1) (started,1) (towards,1) (agaisnt,1) (VB,1) (nmod:towards,1) (nmod:in,1) (creating,1) (conditions,1) 
much/RB	(JJ,1) (RB,1) (NNP,1) (convinced,1) (James,1) (root,1) (nsubj,1) (dobj,1) (much,1) 
lost/VBD	(NNS,1) (lost,1) (root,1) (VBD,1) (parataxis,1) (people,1) 
being/VBG	(NN,1) (cop,1) (root,1) (end,1) (victim,1) (VBG,1) (being,1) (VB,1) (xcomp,1) 
around/RP	(messing,1) (compound:prt,1) (root,1) (VBG,1) (around,1) (RP,1) 
1988/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) (1988,1) 
huge/JJ	(NN,1) (JJ,1) (root,1) (huge,1) (improvement,1) (amod,1) 
global/JJ	(NN,1) (JJ,1) (development,1) (went,1) (global,1) (services,1) (VB,1) (nmod:for,1) (amod,1) (xcomp,1) (NNS,1) (root,1) (get,1) (VBD,1) (nmod:to,1) 
Owen/NNP	(acl:relcl,1) (NNP,1) (NNS,1) (chances,1) (Owen,1) (root,1) (creating,1) (VBG,1) (dobj,1) 
tower/NN	(NN,2) (week,1) (root,1) (starts,1) (dobj,1) (dep,1) (VBZ,1) (tower,1) 
Vickery/NNP	(JJ,1) (all,1) (DT,1) (NNP,1) (root,1) (Vickery,1) (nmod:for,1) (nsubj,1) (great,1) 
Ernst/NNP	(NN,1) (NNP,2) (Planck,1) (Ernst,1) (root,1) (compound,1) (urlLink,1) (dep,1) 
itslef/NN	(JJ,1) (itslef,1) (NN,1) (bcuseae,1) (ccomp,1) (nmod:by,1) (root,1) (raed,1) (VB,1) 
own/JJ	(NN,2) (JJ,1) (nmod:of,1) (success,1) (root,1) (own,1) (end,1) (victim,1) (VB,1) (amod,1) (xcomp,1) 
midfielder/NN	(NN,1) (VBN,1) (nsubjpass,1) (root,1) (midfielder,1) (linked,1) 
strongly/RB	(RB,1) (advmod,1) (VBN,1) (strongly,1) (root,1) (linked,1) 
something/NN	(NN,1) (root,1) (something,1) 
so/RB	(JJ,1) (RB,1) (advmod,1) (convinced,1) (root,1) (so,1) 
have/VBP	(JJ,1) (VBP,1) (aux,1) (root,1) (safe,1) (have,1) 
which/WDT	(NN,1) (which,1) (ref,1) (WDT,1) (root,1) (makes,1) (nmod:during,1) (time,1) (VBZ,1) 
released/VBN	(acl:relcl,1) (NN,1) (CD,1) (named,1) (VBN,1) (VBP,1) (album,1) (no.,1) (dep,1) (nmod:from,1) (2,1) (root,1) (VBD,1) (dobj,1) (released,1) 
would/MD	(would,1) (aux,1) (root,1) (MD,1) (have,1) (VB,1) 
Gloucester/VBZ	(Gloucester,1) (root,1) (VBZ,1) 
and/CC	(JJ,1) (CC,1) (cc,1) (and,1) (responsible,1) (root,1) 
Ecologist/NN	(NN,1) (Ecologist,1) (root,1) 
29.7/CD	(NNP,1) (CD,2) ($,2) (Garnett,1) (nummod,1) (root,1) (29.7,1) (m,1) (compound,1) (dep,1) 
Sun/NNP	(NNP,1) (VBP,1) (root,1) (dobj,1) (Sun,1) (observe,1) 
friend/NN	(NN,2) (nmod:from,1) (root,1) (friend,1) (e-mail,1) (VB,1) (nsubj,1) (prompt,1) 
Compact/JJ	(JJ,1) (sold,1) (NNS,1) (VBN,1) (nsubjpass,1) (root,1) (discs,1) (Compact,1) (amod,1) 
552/NNP	(NN,1) (NNP,1) (552,1) (nmod:with,1) (nmod:of,1) (root,1) (do,1) (position,1) (VB,2) (make,1) (xcomp,1) 
