was/VBD	(root,1) (was,1) (VBD,1) 
rich/JJ	(Soup,1) (JJ,1) (Turtle,1) (NNP,2) (root,1) (rich,1) (VBG,1) (parataxis,1) (nsubj,1) (amod,1) (Waiting,1) 
great/JJ	(NN,1) (JJ,1) (deal,1) (root,1) ('s,1) (nsubj,1) (amod,1) (great,1) (VBZ,1) 
indignantly/NN	(NN,1) (root,1) (indignantly,1) (VBD,1) (said,1) (dobj,1) 
could/MD	(aux,1) (could,1) (get,1) (root,1) (MD,1) (VB,1) 
eyes/NNS	(shut,1) (NNS,1) (VBP,1) (root,1) (HAVE,1) (VBD,1) (parataxis,1) (dobj,1) (eyes,1) 
what/WP	(what,1) (root,1) (was,1) (VBD,1) (WP,1) (dobj,1) 
tail/NN	(NN,1) (VBP,1) (tail,1) (root,1) (growl,1) (VBD,1) (advcl,1) (wag,1) (dobj,1) 
BOOTS/NNP	(NNP,1) (BOOTS,1) (root,1) (DOES,1) (dobj,1) (VBZ,1) 
'll/MD	(aux,1) (root,1) ('ll,1) (MD,1) (VB,1) (write,1) 
Would/MD	(MD,1) (root,1) (Would,1) 
number/NN	(NN,1) (number,1) (nmod:at,1) (VBN,1) (root,1) (felt,1) (VBD,1) (advcl,1) (said,1) 
see/VB	(see,1) (like,1) (root,1) (VB,2) (xcomp,1) 
neither/DT	(mistake,1) (NN,1) (DT,1) (JJR,1) (cc:preconj,1) (more,1) (root,1) (neither,1) (parataxis,1) 
does/VBZ	(does,1) (root,1) (VBZ,1) 
think/VB	(think,1) (been,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (know,1) (parataxis,1) (VB,1) 
give/VB	(JJ,1) (give,1) (VBN,1) (answered,1) (root,1) (enough,1) (conj:and,1) (VB,1) (dep,1) 
before/IN	(JJ,1) (DT,1) (that,1) (VBN,1) (answered,1) (before,1) (IN,1) (root,1) (enough,1) (conj:and,1) (nsubj,1) (case,1) 
all/DT	(all,1) (DT,1) (advmod,1) (root,1) (wrote,1) (VBD,2) (conj:and,1) (said,1) 
boon/NN	(NN,1) (nmod:as,1) (boon,1) (VBN,1) (permitted,1) (root,1) 
to/TO	(root,1) (go,1) (to,1) (TO,1) (VB,1) (mark,1) 
master/NN	(NN,1) (root,1) (nsubj,1) (says,1) (VBZ,1) (master,1) 
uncorked/VBD	(conj:but,1) (uncorked,1) (root,1) (was,1) (VBD,2) 
much/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (VBG,1) (parataxis,1) (opening,1) (much,1) (surprised,1) 
OF/IN	(NN,1) (NNP,1) (VOICE,1) (ccomp,1) (nmod:of,1) (IN,1) (root,1) (SLUGGARD,1) (OF,1) (VBD,1) (said,1) (case,1) 
