zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
was/VBD	(JJ,1) (cop,1) (root,1) (was,1) (VBD,1) (worried,1) 
edge/NN	(NN,1) (edge,1) (asked,1) (root,1) (VBD,2) (squished,1) (nmod:on,1) (dep,1) 
coincidence/NN	(NN,1) (root,1) (is,1) (coincidence,1) (dep,1) (VBZ,1) 
extraordinary/JJ	(NN,1) (JJ,1) (extraordinary,1) (root,1) (is,1) (coincidence,1) (amod,1) (dep,1) (VBZ,1) 
could/MD	(VBP,1) (aux,1) (could,1) (want,1) (root,1) (MD,1) (VB,1) (xcomp,1) (stay,1) 
eyes/NNS	(see,1) (NNS,1) (VBN,1) (nmod:with,1) (root,1) (parataxis,1) (VB,1) (zoomed,1) (eyes,1) 
annoyed/JJ	(JJ,1) (root,1) (annoyed,1) 
'll/MD	(aux,1) (root,1) ('ll,1) (MD,1) (start,1) (VBD,1) (parataxis,1) (said,1) (VB,1) 
children/NNS	(RB,1) (NNS,1) (children,1) (nmod:of,1) (root,1) (clearly,1) 
teachers/NNS	(NNS,1) (VBP,1) (teachers,1) (root,1) (ask,1) (dobj,1) 
see/VB	(see,1) (VBN,1) (root,1) (parataxis,1) (VB,1) (zoomed,1) 
evening/NN	(NN,1) (root,1) (evening,1) 
white/JJ	(silk,1) (NN,1) (JJ,1) (NNS,1) (VBN,1) (nmod:in,1) (white,1) (root,1) (dresses,1) (dressed,1) (amod,1) (appos,1) 
rolled/VBD	(root,1) (gave,1) (VBD,2) (rolled,1) (conj:and,1) 
think/VB	(think,1) (root,1) (VB,1) 
before/IN	(reminded,1) (went,1) (before,1) (IN,1) (root,1) (VBD,2) (advcl,1) (mark,1) 
ceremonies/NNS	(ceremonies,1) (NNS,2) (VBN,1) (ccomp,2) (root,1) (snapped,1) (raised,1) (VBD,1) (ostentatious,1) (nmod:for,1) 
all/DT	(all,1) (DT,1) (thoughts,1) (forcing,1) (NNS,1) (det,1) (root,1) (VBD,1) (VBG,1) (said,1) (dobj,1) (xcomp,1) 
to/TO	(root,1) (to,1) (TO,1) (VB,1) (put,1) (mark,1) 
curiosity/NN	(JJ,1) (NN,1) (sure,1) (curiosity,1) (root,1) (VBD,1) (advcl,1) (nsubj,1) (got,1) 
warming/NN	(NN,1) (root,1) (warming,1) (VBD,1) (had,1) (dobj,1) 
guess/VBP	(JJ,1) (sure,1) (guess,1) (VBP,1) (root,1) (knew,1) (VBD,2) (advcl,3) (got,1) 
forcing/VBG	(forcing,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
Did/RB	(RB,1) (advmod,1) (VBP,1) (root,1) (ask,1) (Did,1) 
through/IN	(NN,1) (through,1) (move,1) (VBP,1) (year,1) (IN,1) (moves,1) (root,1) (advcl,1) (nsubj,1) (case,1) (VBZ,1) 
towards/IN	(NN,1) (move,1) (nmod:towards,1) (VBP,1) (IN,1) (root,1) (dark,1) (towards,1) (case,1) 
much/RB	(RB,1) (happier,1) (advmod,1) (JJR,1) (root,1) (gave,1) (VBD,1) (conj:and,1) (much,1) 
Improper/NNP	(NNP,2) (Improper,1) (Use,1) (root,1) (nsubj,1) (compound,1) (we,1) (PRP,1) 
being/VBG	(NN,1) (cop,1) (root,1) (NNPS,1) (VBD,1) (minded,1) (VBG,1) (being,1) (Malfoys,1) (holiday,1) (dep,1) (xcomp,1) 
taking/VBG	(acl:relcl,1) (NNP,1) (offered,1) (managed,1) (root,1) (VBD,2) (Maxime,1) (nmod:to,1) (VBG,1) (advcl,1) (taking,1) 
Dementor/NNP	(NNP,1) (stopped,1) (root,1) (VBD,1) (Dementor,1) (nsubj,1) 
kettle/NN	(NN,1) (admiring,1) (root,1) (VBD,1) (VBG,1) (said,1) (dobj,1) (xcomp,1) (kettle,1) 
huge/JJ	(NN,1) (JJ,1) (fan,1) (root,1) (huge,1) (amod,1) 
Nikka/NNP	(NNP,1) (root,1) (gave,1) (VBD,1) (Nikka,1) (iobj,1) 
wizard/NN	(NN,1) (see,1) (VBN,1) (root,1) (parataxis,1) (wizard,1) (VB,1) (dobj,1) (zoomed,1) 
an/DT	(NN,1) (DT,1) (det,1) (root,1) (is,1) (coincidence,1) (an,1) (dep,1) (VBZ,1) 
still/RB	(RB,1) (advmod,1) (still,1) (ccomp,1) (waiting,1) (root,1) (VBD,1) (pinched,1) (VBG,1) (check,1) (VB,1) (xcomp,1) 
getting/VBG	(VBN,2) (auxpass,1) (laughed,1) (kicked,1) (had,1) (acl,1) (xcomp,1) (Vernon,1) (getting,1) (NNP,1) (root,1) (VBD,1) (VBG,1) (nsubj,1) 
by/IN	(NN,2) (CD,1) (nmod:in,1) (six,1) (nmod:by,1) (IN,1) (root,1) (by,1) (evening,1) (room,1) (case,1) 
together/RB	(RB,1) (advmod,1) (ccomp,1) (smiles,1) (AND,1) (root,1) (together,1) (VBZ,2) 
laughter/NN	(NN,2) (nmod:of,1) (root,1) (VBD,1) (let,1) (dobj,1) (snort,1) (laughter,1) 
something/NN	(NN,1) (Get,1) (root,1) (VB,1) (dobj,1) (something,1) 
Hat/NNP	(took,1) (NNP,1) (root,1) (VBD,1) (Hat,1) (nsubj,1) 
so/RB	(RB,1) (advmod,1) (found,1) (VBN,1) (root,1) (so,1) 
have/VBP	(VBP,1) (root,1) (have,1) 
moment/NN	(NN,1) (considered,1) (root,1) (VBD,2) (conj:and,1) (nmod:for,1) (smirked,1) (moment,1) 
slightly/RB	(RB,1) (slightly,1) (advmod,1) (looked,1) (root,1) (VBD,1) 
girl/NN	(acl:relcl,1) (NN,1) (NNP,1) (offered,1) (managed,1) (root,1) (VBD,2) (Maxime,1) (nmod:to,1) (nmod:like,1) (girl,1) 
would/MD	(ccomp,1) (would,1) (root,1) (MD,1) (VBD,1) (blushed,1) 
and/CC	(CC,1) (cc,1) (and,1) (root,1) (go,1) (VB,1) 
you/PRP	(AND,1) (root,1) (dobj,1) (you,1) (VBZ,1) (PRP,1) 
person/NN	(JJ,1) (NN,2) (pots,1) (enough,1) (hot,1) (nmod:for,1) (appos,1) (NNS,1) (person,1) (root,1) (simmering,1) (VBG,1) (advcl,1) (nsubj,1) 
Hermione/NNP	(NNP,1) (Hermione,1) (root,1) (gave,1) (VBD,1) (nsubj,1) 
looked/VBN	(acl:relcl,1) (nmod:including,1) (VBN,2) (learned,1) (looked,1) (Krecher,1) (enjoy,1) (VB,1) (xcomp,1) (NNP,1) (scooped,1) (ccomp,1) (root,1) (VBD,1) 
put/VB	(root,1) (VB,1) (put,1) 
against/IN	(NN,1) (shield,1) (stopped,1) (IN,1) (against,1) (banging,1) (dep,1) (nmod:against,1) (ccomp,1) (root,1) (VBD,1) (VBG,2) (moving,1) (case,1) 
smiled/VBD	(smiled,1) (root,1) (VBD,1) 
guests/NNS	(NNS,1) (VBP,1) (root,1) (have,1) (guests,1) (dobj,1) 
looked/VBD	(looked,1) (root,1) (VBD,1) 
