fetch/VB	(fetch,1) (root,1) (VB,1) 
was/VBD	(ccomp,1) (knew,1) (root,1) (was,1) (VBD,2) 
indignantly/NN	(NN,1) (indignantly,1) (root,1) 
could/MD	(JJ,1) (aux,1) (could,1) (root,1) (MD,1) (scary,1) 
eyes/NNS	(NNS,1) (VBN,1) (aux,1) (root,1) (insisted,1) (VBD,1) (had,1) (dobj,1) (eyes,1) 
what/WP	(magic,1) (JJ,1) (what,1) (root,1) (WP,1) (dobj,1) 
'll/MD	(JJ,1) (fine,1) (aux,1) (root,1) ('ll,1) (MD,1) 
approached/VBD	(blew,1) (root,1) (VBD,2) (approached,1) (advcl,1) 
evening/NN	(RB,1) (NN,1) (root,1) (parataxis,1) (So,1) (evening,1) 
before/IN	(stopped,1) (before,1) (IN,1) (root,1) (VBD,1) (nsubj,1) (he,1) (case,1) (PRP,1) 
So/CC	(CC,1) (cc,1) (NNP,1) (Hermione,1) (root,1) (go,1) (parataxis,1) (VB,1) (So,1) 
all/DT	(JJ,1) (all,1) (going,1) (xcomp,1) (dep,1) (RB,2) (DT,1) (advmod,2) (root,1) (there,1) (crazy,1) (VBG,1) (up,1) 
to/TO	(get,1) (root,1) (to,1) (TO,1) (VB,1) (mark,1) 
Parvati/VBZ	(Parvati,1) (root,1) (VBZ,1) 
through/IN	(NN,1) (through,1) (looked,1) (IN,1) (noticed,1) (conj:and,1) (nmod:through,1) (ccomp,1) (shimmered,1) (fabric,1) (root,1) (VBD,3) (case,1) 
much/RB	(RB,1) (advmod,1) (root,1) (thank,1) (VB,1) (much,1) 
words/NNS	(NNS,1) (thought,1) (nmod:about,1) (root,1) (words,1) (VBD,1) 
never/RB	(JJ,1) (RB,1) (never,1) (neg,1) (root,1) (parataxis,1) (do,1) (VB,1) (delirious,1) 
Yeah/UH	(JJ,1) (UH,1) (fine,1) (root,1) (Yeah,1) (discourse,1) 
short/JJ	(NN,1) (JJ,1) (NNP,1) (Hermione,1) (root,1) (go,1) (short,1) (parataxis,1) (VB,1) (nmod:for,1) (amod,1) (walk,1) 
glad/SYM	(NNP,1) (Neville,1) (made,1) (SYM,1) (root,1) (glad,1) (VBD,1) (parataxis,1) (dep,1) 
enough/RB	(JJ,1) (RB,1) (advmod,1) (old,1) (root,1) (enough,1) 
talkin/JJ	(NN,1) (JJ,1) (acl:relcl,1) (named,1) (root,1) (VBD,1) (talkin,1) (man,1) (nsubj,1) 
an/DT	(DT,1) (idiot,1) (VBP,1) (root,1) (nsubj,1) (an,1) 
still/RB	(RB,1) (advmod,1) (still,1) (VBP,1) (root,1) (have,1) 
own/JJ	(NN,1) (JJ,1) (VBN,2) (root,1) (own,1) (insisted,1) (had,1) (advcl,1) (dobj,1) (amod,1) (apartment,1) 
something/NN	(NN,1) (fetch,1) (root,1) (VB,1) (dobj,1) (something,1) 
so/RB	(RB,2) (advmod,2) (root,1) (thank,1) (VB,1) (so,1) (much,1) 
have/VBP	(VBP,1) (root,1) (have,1) 
moment/NN	(NN,1) (root,1) (VBD,1) (nmod:for,1) (stole,1) (moment,1) 
insane/JJ	(JJ,1) (NNP,1) (Hermione,1) (root,1) (insane,1) (parataxis,1) 
slightly/RB	(RB,1) (slightly,1) (advmod,1) (smiled,1) (root,1) (VBD,1) 
which/WDT	(NN,1) (which,1) (took,1) (ref,1) (nmod:with,1) (WDT,1) (root,1) (VBD,1) (quill,1) 
face/NN	(NN,1) (face,1) (root,1) (buried,1) (VBD,1) (dobj,1) 
chair/NN	(NN,1) (took,1) (chair,1) (root,1) (VBD,1) (dobj,1) 
would/MD	(ccomp,1) (would,1) (aux,1) (embarrassing,1) (knew,1) (root,1) (MD,1) (VBD,1) (VBG,1) 
and/CC	(CC,1) (cc,1) (thought,1) (and,1) (root,1) (VBD,1) 
wet/JJ	(JJ,1) (ccomp,1) (looked,1) (root,1) (noticed,1) (wet,1) (VBD,2) (conj:and,1) 
you/PRP	(JJ,1) (old,1) (root,1) (nsubj,1) (you,1) (PRP,1) 
askin/NN	(JJ,1) (NN,1) (NNS,1) (askin,1) (fine,1) (root,1) (Thanks,1) (parataxis,1) (dep,1) 
noticed/VBD	(looked,1) (root,1) (noticed,1) (VBD,2) (conj:and,1) 
Hermione/NNP	(NNP,1) (Hermione,1) (root,1) 
smiled/VBD	(smiled,1) (root,1) (VBD,1) 
scenery/NN	(NN,2) (going,1) (nmod:of,1) (needed,1) (root,1) (change,1) (VBD,1) (VBG,1) (conj:and,1) (dobj,1) (scenery,1) 
doubled/JJ	(NN,1) (JJ,1) (dose,1) (doubled,1) (root,1) (VBD,1) (dobj,1) (amod,1) (got,1) 
skin/NN	(NN,1) (ccomp,1) (looked,1) (shimmered,1) (root,1) (noticed,1) (skin,1) (VBD,3) (conj:and,1) (nsubj,1) 
looked/VBD	(looked,1) (root,1) (VBD,1) 
crazy/JJ	(JJ,1) (going,1) (root,1) (crazy,1) (VBG,1) (xcomp,1) 
for/IN	(magic,1) (JJ,1) (IN,1) (root,1) (nmod,1) (for,1) 
St./NNP	(NNP,1) (NNPS,1) (root,1) (Mungos,1) (St.,1) (compound,1) 
closet/NN	(NN,1) (took,1) (nmod:of,1) (root,1) (VBD,1) (closet,1) 
Ron/NNP	(Ron,1) (NNP,1) (root,1) 
way/NN	(NN,1) (stopped,1) (root,1) (VBD,2) (advcl,1) (nmod:on,1) (ran,1) (way,1) 
up/RB	(JJ,1) (RB,2) (advmod,2) (going,1) (root,1) (there,1) (crazy,1) (VBG,1) (up,1) (xcomp,1) 
delirious/JJ	(JJ,1) (root,1) (delirious,1) 
past/IN	(NN,1) (bar,1) (went,1) (IN,1) (past,1) (root,1) (VBD,1) (nmod:to,1) (case,1) 
