speaks/VBZ	(speaks,1) (root,1) (VBZ,1) 
was/VBD	(ccomp,1) (root,1) (was,1) (VBD,1) (do,1) (VB,1) 
cohesion/NN	(NN,1) (ccomp,1) (seemed,1) (root,1) (VBD,1) (cohesion,1) (VB,1) (dobj,1) (enhance,1) 
ones/NNS	(NNS,1) (root,1) (ones,1) (dry,1) (VB,1) (nsubj,1) 
Part/NNP	(NN,1) (NNP,1) (Part,1) (root,1) (something,1) (dep,1) 
sapping/VBG	(NN,1) (JJ,1) (sapping,1) (planet,1) (root,1) (capable,1) (VBG,1) (advcl,1) (amod,1) 
could/MD	(could,1) (MD,1) (root,1) 
ships/NNS	(ships,1) (NNS,1) (VBN,1) (root,1) (nsubj,1) (shocked,1) 
what/WP	(call,1) (what,1) (root,1) (WP,1) (VB,1) (dep,1) 
'll/MD	(help,1) (ccomp,1) (aux,1) (does,1) (root,1) ('ll,1) (MD,1) (VB,1) (VBZ,1) 
steel/NN	(NN,2) (steel,1) (nmod:of,1) (pile,1) (root,1) 
killers/NNS	(NNS,1) (killers,1) (root,1) (beat,1) (dry,1) (advcl,1) (VB,2) (dobj,1) 
error/NN	(NN,1) (ccomp,2) (VBP,1) (made,1) (root,1) (VBD,1) (believe,1) (error,1) (dobj,1) (says,1) (VBZ,1) 
see/VB	(see,1) (root,1) (parataxis,1) (VB,1) (becomes,1) (VBZ,1) 
does/VBZ	(does,1) (root,1) (VBZ,1) 
before/IN	(NNS,1) (VBN,1) (left,1) (before,1) (IN,1) (root,1) (nsubj,1) (humans,1) (case,1) 
So/CC	(JJ,1) (CC,1) (cc,1) (take,1) (ccomp,1) (VBP,1) (root,1) (technological,1) (So,1) 
past/NN	(NN,1) (nmod:from,1) (VBP,1) (past,1) (get,1) (root,1) 
all/DT	(all,1) (DT,1) (consuming,1) (root,1) (pour,1) (VBG,1) (VB,1) (dobj,1) (xcomp,1) 
blue/JJ	(NN,1) (JJ,1) (blue,1) (root,1) (paradise,1) (acl,1) (xcomp,1) (becomes,1) (VBZ,1) 
to/TO	(root,1) (to,1) (TO,1) (VB,1) (make,1) (mark,1) 
curiosity/NN	(NN,1) (curiosity,1) (root,1) 
take/VBP	(take,1) (VBP,1) (root,1) 
kook/NN	(NN,1) (kook,1) (root,1) 
through/IN	(acl:relcl,1) (NN,1) (through,1) (VBP,1) (IN,1) (night,1) (dry,1) (VB,1) (ride,1) (nmod:through,1) (NNS,1) (root,1) (ones,1) (nsubj,1) (case,1) 
Never/RB	(RB,1) (neg,1) (saved,1) (Never,1) (root,1) (VBD,1) 
soul/NN	(NN,1) (VBP,1) (enters,1) (soul,1) (root,1) (speak,1) (advcl,2) (VB,1) (nsubj,1) (send,1) (VBZ,1) 
being/VBG	(NN,1) (JJ,1) (problem,1) (cop,1) (old,1) (root,1) (VBG,1) (acl,1) (being,1) 
back/JJ	(NN,1) (JJ,1) (crayon,1) (VBP,1) (road,1) (root,1) (back,1) (amod,1) (nmod:on,1) 
never/RB	(JJ,1) (RB,1) (never,1) (neg,1) (root,1) (enough,1) 
peasant/NN	(RB,1) (JJ,1) (NN,2) (peasant,1) (Not,1) (bad,1) (root,1) (nmod:for,1) (boy,1) (compound,1) (dep,1) 
galactic/JJ	(NN,1) (JJ,1) (NNS,1) (races,1) (council,1) (root,1) (do,1) (VB,1) (nsubj,1) (galactic,1) (amod,1) (compound,1) 
entirely/RB	(NN,2) (acl:relcl,1) (JJ,1) (steel,1) (glinted,1) (overcast,1) (nmod:of,1) (pile,1) (entirely,1) (RB,1) (advmod,1) (root,1) (VBD,1) (advcl,1) 
balancing/NN	(remember,1) (NN,1) (balancing,1) (ccomp,1) (root,1) (Do,1) (VB,2) (dobj,1) 
tells/VBZ	(tells,1) (root,1) (VBZ,1) 
planet/NN	(NN,1) (planet,1) (root,1) 
partially/RB	(JJ,1) (RB,1) (advmod,1) (VBN,1) (root,1) (damaged,1) (conj:and,1) (shocked,1) (partially,1) 
