Fantasy/NNP	(NNP,1) (root,1) (Fantasy,1) 
say?What/NN	(NN,1) (say?What,1) (root,1) (VBD,1) (nsubj,1) (did,1) 
was/VBD	(root,1) (was,1) (VBD,1) 
satisfied/VBN	(NN,1) (smiled,1) (VBN,1) (satisfied,1) (root,1) (VBD,1) (dobj,1) (amod,1) (smirk,1) 
edge/NN	(NN,1) (edge,1) (occurred,1) (root,1) (VBD,1) (advcl,1) 
could/MD	(wish,1) (VBN,1) (ccomp,1) (VBP,1) (aux,1) (could,1) (root,1) (MD,1) (VBD,1) (advcl,1) (lived,1) (done,1) 
eyes/NNS	(NNS,1) (VBN,1) (root,1) (eyes,1) (dep,1) (wrinkled,1) 
what/WP	(wandered,1) (what,1) (root,1) (felt,1) (VBD,2) (WP,1) (advcl,1) (nsubj,1) 
couldnt/JJ	(JJ,2) (couldnt,1) (root,1) (VBD,1) (advcl,1) (VB,1) (funny,1) (happened,1) (xcomp,1) (dep,1) (accept,1) 
Would/MD	(like,1) (aux,1) (root,1) (MD,1) (Would,1) (VB,1) 
Leo/NNP	(NNP,1) (ccomp,1) (called,1) (root,1) (jeered,1) (Leo,1) (VBD,2) (nsubj,1) 
see/VB	(see,1) (glanced,1) (root,1) (VBD,1) (VB,1) (xcomp,1) 
think/VB	(think,1) (like,1) (VBP,1) (root,1) (VB,1) (xcomp,1) 
before/IN	(NN,1) (VBN,1) (death,1) (nmod:after,1) (before,1) (IN,1) (root,1) (stumbled,1) (case,1) 
youre/VB	(root,1) (VB,1) (youre,1) 
all/DT	(all,1) (DT,1) (root,1) 
to/TO	(root,1) (to,1) (TO,1) (VB,1) (write,1) (mark,1) 
guess/VBP	(guess,1) (VBP,1) (root,1) 
shout/VB	(root,1) (VBD,1) (had,1) (shout,1) (VB,1) (xcomp,1) 
through/IN	(all,1) (DT,1) (acl:relcl,1) (NN,1) (through,1) (IN,1) (root,1) (VBD,1) (got,1) (day,1) (nmod:through,1) (case,1) 
schools/NNS	(NNP,1) (caught,1) (NNS,1) (VBN,1) (Im,1) (schools,1) (root,1) (VBD,1) (lived,1) (acl,1) (nsubj,1) (nmod:on,1) 
towards/IN	(NNP,1) (IN,1) (root,1) (VBD,1) (towards,1) (said,1) (Allen,1) (nsubj,1) (case,1) 
wits/NNS	(NNS,1) (wits,1) (root,1) (lower,1) (VB,2) (dobj,1) (suppose,1) (xcomp,1) 
much/RB	(RB,1) (doing,1) (VBP,1) (hadnt,1) (root,1) (VBG,1) (dobj,1) (dep,1) (much,1) 
words/NNS	(NN,1) (NNS,1) (VBN,1) (nmod:with,1) (root,1) (words,1) (had,1) (dobj,1) (way,1) 
never/RB	(RB,1) (never,1) (neg,1) (root,1) (was,1) (VBD,1) 
short/JJ	(JJ,2) (NN,1) (nmod:with,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (hair,1) (ccomp,1) (root,1) (short,1) (VBG,1) (tall,1) (appearing,1) 
taking/VBG	(root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) (taking,1) 
counter/NN	(NN,2) (nmod:behind,1) (root,1) (VBD,1) (man,1) (counter,1) (said,1) (nsubj,1) 
Thales/NNS	(NNS,1) (appeared,1) (VBN,1) (Thales,1) (root,1) (nsubj,1) 
Thales/NNP	(NNP,2) (Bar,1) (VBN,1) (Thales,1) (nmod:across,1) (root,1) (stumbled,1) (compound,1) 
gotten/VBN	(caught,1) (NNS,1) (VBN,1) (gotten,1) (root,1) (VBD,1) (boys,1) (acl,1) (nsubj,1) 
resembled/VBD	(resembled,1) (root,1) (VBD,1) 
an/DT	(NN,1) (DT,1) (det,1) (answer,1) (nmod:with,1) (root,1) (struggled,1) (VBD,1) (come,1) (VB,1) (an,1) (xcomp,1) 
fucking/VBG	(JJ,1) (Easy,1) (root,1) (VBG,1) (fucking,1) (dep,1) 
still/RB	(RB,1) (advmod,1) (still,1) (VBP,1) (root,1) (havent,1) 
own/JJ	(JJ,2) (NN,1) (beard,1) (nmod:with,1) (own,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (ccomp,1) (root,1) (VBG,1) (tall,1) (appearing,1) 
by/IN	(NN,1) (IN,1) (root,1) (by,1) (VBD,1) (man,1) (said,1) (nsubj,1) (case,1) 
laughter/NN	(NN,1) (brought,1) (root,1) (VBD,1) (nsubj,1) (laughter,1) 
something/NN	(NN,1) (root,1) (something,1) 
so/RB	(small,1) (JJ,1) (RB,1) (feels,1) (advmod,1) (nmod:next_to,1) (root,1) (amod,1) (so,1) (us,1) (VBZ,1) (PRP,1) 
gentlemens/JJ	(JJ,1) (NNS,1) (gentlemens,1) (root,1) (lower,1) (nmod:to,1) (VB,2) (amod,1) (suppose,1) (xcomp,1) (levels,1) 
boys/NNS	(caught,1) (NNS,1) (root,1) (VBD,1) (boys,1) (nsubj,1) 
slightly/RB	(RB,1) (slightly,1) (advmod,1) (appeared,1) (JJR,1) (younger,1) (root,1) (VBD,1) (dobj,1) 
havent/VBP	(VBP,1) (root,1) (havent,1) 
face/NN	(NN,1) (face,1) (VBN,1) (nsubjpass,1) (root,1) (wrinkled,1) 
stumbled/VBN	(VBN,1) (root,1) (stumbled,1) 
Leonardo/NNP	(Leonardo,1) (NNP,1) (cut,1) (root,1) (VBD,1) (nsubj,1) 
would/MD	(VBN,1) (would,1) (winked,1) (aux,1) (root,1) (MD,1) 
and/CC	(CC,1) (cc,1) (VBN,1) (winked,1) (and,1) (root,1) 
above/IN	(NN,1) (VBN,1) (crowd,1) (IN,1) (had,1) (VB,1) (xcomp,2) (nmod:above,1) (root,1) (above,1) (VBD,1) (shout,1) (heard,1) (case,1) 
writing?He/JJ	(NN,1) (JJ,2) (writing?He,1) (hadnt,1) (root,1) (amod,2) (anything,1) 
you/PRP	(JJ,1) (Easy,1) (root,1) (nmod:for,1) (you,1) (PRP,1) 
destined/VBN	(VBN,1) (ccomp,1) (replied,1) (root,1) (VBD,1) (destined,1) 
bellowed/JJ	(natured,1) (JJ,2) (bellowed,1) (caught,1) (NNS,1) (accusatory,1) (root,1) (VBD,1) (amod,2) (nmod:leonardo,1) 
hes/NN	(NN,1) (root,1) (hes,1) (VBD,1) (had,1) (nsubj,1) 
smiled/VBD	(smiled,1) (root,1) (VBD,1) 
guests/NNS	(see,1) (NNS,1) (glanced,1) (root,1) (guests,1) (VBD,1) (nmod:to,1) (VB,1) (xcomp,1) 
Easy/JJ	(JJ,1) (Easy,1) (root,1) 
myself/PRP	(root,1) (writing,1) (myself,1) (VBD,1) (VBG,1) (dobj,1) (did,1) (dep,1) (PRP,1) 
werent/VBP	(werent,1) (VBP,1) (root,1) 
looked/VBD	(looked,1) (root,1) (VBD,1) 
dive/NN	(JJ,1) (NN,1) (find,1) (root,1) (hard,1) (dive,1) (VB,1) (dobj,1) (xcomp,1) 
for/IN	(JJ,1) (Easy,1) (IN,1) (root,1) (for,1) (nmod:for,1) (you,1) (case,1) (PRP,1) 
way/NN	(NN,1) (VBN,1) (root,1) (had,1) (dobj,1) (way,1) 
sort/NN	(NN,1) (NNP,1) (root,1) (Fantasy,1) (sort,1) (dep,1) 
land/NN	(NN,1) (streets,1) (nmod:of,1) (was,1) (wandering,1) (xcomp,1) (NNS,1) (found,1) (ccomp,1) (root,1) (VBD,2) (land,1) (VBG,1) (dobj,1) 
too/RB	(JJ,1) (RB,1) (conj:but,1) (advmod,1) (bad,1) (VBP,1) (too,1) (root,1) (VBD,1) (feel,1) (said,1) (xcomp,1) 
chatting/VBG	(NN,1) (nmod:of,1) (glanced,1) (acl,1) (VB,1) (xcomp,1) (see,1) (NNS,1) (root,1) (men,1) (VBD,1) (VBG,2) (advcl,1) (dobj,1) (chatting,1) (sitting,1) (group,1) 
accent/NN	(JJ,1) (NN,1) (strong,1) (root,1) (nsubj,1) (accent,1) 
some/DT	(DT,1) (some,1) (root,1) (writing,1) (VBD,1) (VBG,1) (nsubj,1) (did,1) (dep,1) 
ago/IN	(advmod,1) (IN,1) (root,1) (ago,1) (gave,1) (VBD,1) 
out/RP	(compound:prt,1) (VBP,1) (root,1) (burst,1) (RP,1) (out,1) 
small/JJ	(small,1) (JJ,1) (feels,1) (nmod:next_to,1) (root,1) (amod,1) (us,1) (VBZ,1) (PRP,1) 
up/RP	(caught,1) (compound:prt,1) (root,1) (VBD,1) (up,1) (RP,1) 
embarrassed/VBN	(VBN,1) (embarrassed,1) (root,1) (VBD,1) (coughed,1) (xcomp,1) 
neatly/RB	(JJ,1) (NN,1) (VBN,1) (beard,1) (nmod:with,1) (neatly,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (RB,1) (advmod,1) (ccomp,1) (root,1) (VBG,1) (tall,1) (appearing,1) (trimmed,1) 
hummed/VBD	(hummed,1) (root,1) (VBD,1) 
levels/NNS	(NNS,1) (root,1) (lower,1) (nmod:to,1) (VB,2) (suppose,1) (xcomp,1) (levels,1) 
should/MD	(aux,1) (root,1) (MD,1) (should,1) (VB,1) (write,1) 
New/NNP	(NNP,2) (New,1) (resembled,1) (York,1) (root,1) (VBD,1) (compound,1) (xcomp,1) 
ways/NNS	(acl:relcl,1) (feels,1) (NNS,1) (measure,1) (ways,1) (nmod:in,1) (nmod:next_to,1) (root,1) (VB,1) (us,1) (VBZ,1) (PRP,1) 
back/NN	(NN,1) (glanced,1) (root,1) (VBD,1) (back,1) (nmod:to,1) 
What/WP	(NN,1) (root,1) (WP,1) (What,1) (dep,1) (anything,1) 
puff/NN	(NN,1) (took,1) (puff,1) (root,1) (VBD,1) (dobj,1) 
tables/NNS	(scrattered,1) (tables,1) (NNS,1) (VBN,1) (nsubjpass,1) (root,1) 
wrinkled/VBN	(VBN,1) (root,1) (wrinkled,1) 
smirk/NN	(NN,1) (smiled,1) (root,1) (VBD,1) (dobj,1) (smirk,1) 
youd/VBN	(VBN,1) (like,1) (root,1) (advcl,1) (join,1) (VB,2) (youd,1) (xcomp,1) 
met/VBD	(see,1) (ccomp,1) (VBP,1) (root,1) (VBD,1) (met,1) 
It/PRP	(occurred,1) (root,1) (VBD,1) (It,1) (nsubj,1) (PRP,1) 
few/JJ	(JJ,1) (root,1) (VBD,1) (few,1) (had,1) (dobj,1) 
tailored/JJ	(JJ,2) (NN,2) (acl:relcl,1) (beard,1) (nmod:with,1) (tailored,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (ccomp,1) (shirt,1) (root,1) (hung,1) (VBD,1) (VBG,1) (tall,1) (appearing,1) (nmod:in_front_of,1) 
They/PRP	(werent,1) (VBP,1) (root,1) (nsubj,1) (They,1) (PRP,1) 
gave/VBD	(root,1) (gave,1) (VBD,1) 
crowded/VBD	(ccomp,1) (root,1) (was,1) (VBD,2) (crowded,1) 
across/IN	(NNP,1) (across,1) (Bar,1) (VBN,1) (IN,1) (nmod:across,1) (root,1) (stumbled,1) (case,1) 
every/DT	(streets,1) (was,1) (wandering,1) (xcomp,1) (DT,1) (NNS,1) (det,1) (found,1) (ccomp,1) (root,1) (VBD,2) (VBG,1) (dobj,1) (every,1) 
days/NNS	(NNS,1) (VBN,1) (nmod:tmod,1) (root,1) (days,1) (stumbled,1) 
shaking/VBG	(replied,1) (root,1) (VBD,1) (VBG,1) (shaking,1) (xcomp,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (log,1) (root,1) 
down/RP	(compound:prt,1) (root,1) (VB,1) (write,1) (down,1) (RP,1) 
though/RB	(RB,1) (VBN,1) (though,1) (like,1) (root,1) (advcl,2) (join,1) (VB,2) (youd,1) (xcomp,1) 
accept/VB	(JJ,1) (root,1) (VBD,1) (advcl,1) (VB,1) (funny,1) (happened,1) (xcomp,1) (accept,1) 
letters/NNS	(acl:relcl,1) (think,1) (VBN,1) (hands,1) (like,1) (VBP,1) (sketched,1) (VB,1) (guided,1) (xcomp,1) (dep,1) (NNS,2) (root,1) (VBD,1) (dobj,2) (letters,1) 
crowd/NN	(NN,1) (VBN,1) (crowd,1) (nmod:above,1) (root,1) (VBD,1) (had,1) (shout,1) (VB,1) (xcomp,2) (heard,1) 
measure/VB	(acl:relcl,1) (feels,1) (measure,1) (nmod:next_to,1) (root,1) (VB,1) (us,1) (VBZ,1) (PRP,1) 
interrupt/VB	(VBP,1) (mean,1) (didnt,1) (root,1) (interrupt,1) (VB,2) (xcomp,2) 
dimly/RB	(JJ,1) (RB,1) (advmod,1) (lit,1) (root,1) (dimly,1) 
handled/VBD	(handled,1) (root,1) (VBD,1) 
everyones/JJ	(scrattered,1) (NN,1) (JJ,1) (tables,1) (NNS,1) (glass,1) (VBN,1) (nsubjpass,1) (root,1) (amod,1) (compound,1) (everyones,1) 
not/RB	(RB,1) (neg,1) (not,1) (root,1) (VB,1) (youre,1) 
burst/VBP	(VBP,1) (root,1) (burst,1) 
go/VB	(JJ,2) (ccomp,2) (alive,1) (root,1) (go,1) (VBD,1) (advcl,1) (joked,1) (VB,1) (funny,1) 
then/RB	(RB,1) (advmod,1) (root,1) (then,1) (VB,1) (write,1) 
write/VBP	(ccomp,1) (VBP,1) (root,1) (VBD,1) (write,1) (did,1) 
coughed/VBD	(root,1) (VBD,1) (coughed,1) 
quickly/RB	(RB,1) (refilled,1) (advmod,1) (appeared,1) (VBN,1) (root,1) (quickly,1) (VBD,1) (conj:and,1) 
here/RB	(here,1) (RB,1) (advmod,1) (ccomp,1) (Im,1) (taught,1) (root,1) (VBD,1) (VBG,1) (saying,1) (VB,1) (xcomp,1) 
lounge/NN	(NN,1) (lounge,1) (looked,1) (root,1) (VBD,1) (nmod:like,1) 
like/IN	(NNS,1) (VBN,1) (nmod:tmod,1) (like,1) (IN,1) (root,1) (days,1) (stumbled,1) (case,1) 
weeks/NNS	(NNS,1) (weeks,1) (nmod:tmod,1) (root,1) (gave,1) (VBD,1) 
A/DT	(NN,1) (DT,1) (A,1) (det,1) (brought,1) (root,1) (VBD,1) (nsubj,1) (laughter,1) 
table/NN	(NN,2) (edge,1) (occurred,1) (nmod:of,1) (root,1) (VBD,1) (advcl,1) (table,1) 
place/NN	(NN,1) (nmod:in,1) (root,1) (flowed,1) (VBD,1) (place,1) 
like/VBP	(like,1) (VBP,1) (root,1) 
dead/JJ	(JJ,1) (root,1) (dead,1) 
youth/NN	(NN,1) (NNS,1) (VBN,2) (twinkled,1) (nmod:with,1) (root,1) (acl,1) (eyes,1) (dep,1) (youth,1) (wrinkled,1) 
have/VB	(VBN,1) (winked,1) (aux,1) (root,1) (have,1) (VB,1) 
came/VBD	(NN,1) (acl:relcl,1) (root,1) (came,1) (VBD,1) (anything,1) 
feels/VBZ	(feels,1) (root,1) (VBZ,1) 
at/IN	(brought,1) (at,1) (IN,1) (root,1) (VBD,1) (dobj,1) (him,1) (case,1) (PRP,1) 
barely/RB	(JJ,1) (RB,1) (advmod,1) (ccomp,1) (root,1) (barely,1) (VBG,1) (tall,1) (appearing,1) 
might/MD	(wandered,1) (been,1) (VBN,1) (aux,1) (might,1) (root,1) (MD,1) (VBD,1) (advcl,1) 
glanced/VBD	(glanced,1) (root,1) (VBD,1) 
Abe/NNP	(NNP,1) (ccomp,1) (Im,1) (taught,1) (Abe,1) (root,1) (VBD,1) (VBG,1) (saying,1) (VB,1) (nsubj,1) (xcomp,1) 
on/IN	(took,1) (NNS,1) (IN,1) (cigars,1) (root,1) (VBD,1) (nmod:on,1) (case,1) (on,1) 
man/NN	(NN,1) (root,1) (VBD,1) (man,1) (said,1) (nsubj,1) 
saying/VBG	(Im,1) (root,1) (VBG,1) (saying,1) (VB,1) (xcomp,1) 
ceiling/NN	(JJ,1) (NN,1) (ceiling,1) (nmod:from,1) (NNS,1) (nmod:with,1) (lit,1) (root,1) (curtains,1) (VBG,1) (acl,1) (hanging,1) 
day/NN	(all,1) (DT,1) (acl:relcl,1) (NN,1) (root,1) (VBD,1) (got,1) (day,1) (nmod:through,1) 
shirt/NN	(JJ,1) (NN,2) (acl:relcl,1) (beard,1) (nmod:with,1) (VB,1) (xcomp,1) (fit,1) (ccomp,1) (shirt,1) (root,1) (hung,1) (VBD,1) (VBG,1) (tall,1) (appearing,1) (nmod:in_front_of,1) 
replied/VBD	(replied,1) (root,1) (VBD,1) 
living/NN	(NN,1) (nmod:beyond,1) (found,1) (ccomp,1) (living,1) (root,1) (was,1) (VBD,2) (VBG,1) (wandering,1) (xcomp,1) 
rolling/VBG	(rolling,1) (cut,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
were/VBD	(scrattered,1) (VBN,1) (were,1) (root,1) (auxpass,1) (VBD,1) 
sulked/VBD	(sulked,1) (VBP,1) (root,1) (VBD,1) (advcl,1) (burst,1) 
truth/NN	(NN,1) (truth,1) (nmod:in,1) (VBP,1) (hadnt,1) (root,1) 
changing/VBG	(NN,1) (acl:relcl,1) (nmod:in,1) (root,1) (flowed,1) (VBD,2) (VBG,1) (place,1) (kept,1) (changing,1) (xcomp,1) 
hadnt/NNP	(NNP,1) (hadnt,1) (handled,1) (root,1) (VBD,1) (nsubj,1) 
black/JJ	(JJ,2) (NN,1) (nmod:with,1) (black,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (hair,1) (ccomp,1) (root,1) (VBG,1) (tall,1) (appearing,1) 
Sokratis/NNS	(Sokratis,1) (NNS,1) (replied,1) (root,1) (VBD,1) (nsubj,1) 
that/WDT	(all,1) (DT,1) (that,1) (ref,1) (WDT,1) (root,1) 
side/NN	(RB,1) (NN,1) (advmod,1) (side,1) (brought,1) (root,1) (VBD,1) (nmod:to,1) (off,1) 
had/VBD	(root,1) (VBD,1) (had,1) 
belong/VBP	(belong,1) (ccomp,1) (like,1) (VBP,2) (root,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (root,1) (VBD,1) (man,1) (said,1) (nsubj,1) 
mens/NNS	(NNS,1) (interrupting,1) (root,1) (VB,2) (dobj,1) (dep,1) (mens,1) (youre,1) 
appeared/VBD	(appeared,1) (root,1) (VBD,1) 
come/VB	(root,1) (struggled,1) (VBD,1) (come,1) (VB,1) (xcomp,1) 
from/IN	(frequented,1) (NN,1) (nmod:in,1) (IN,1) (root,1) (VBD,1) (from,1) (time,1) (case,1) 
had/VBN	(VBN,1) (root,1) (had,1) 
answer/NN	(NN,1) (answer,1) (nmod:with,1) (root,1) (struggled,1) (VBD,1) (come,1) (VB,1) (xcomp,1) 
roaring/VBG	(NN,1) (brought,1) (root,1) (roaring,1) (VBD,1) (VBG,1) (nsubj,1) (amod,1) (laughter,1) 
Bar/NNP	(NNP,1) (Bar,1) (VBN,1) (nmod:across,1) (root,1) (stumbled,1) 
strong/JJ	(JJ,1) (strong,1) (root,1) 
coughing/VBG	(paused,1) (coughing,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
streets/NNS	(NNS,1) (found,1) (ccomp,1) (streets,1) (root,1) (was,1) (VBD,2) (VBG,1) (dobj,1) (wandering,1) (xcomp,1) 
once/RB	(RB,2) (advmod,2) (appeared,1) (VBN,1) (once,1) (root,1) (again,1) 
point/NN	(JJ,1) (NN,1) (csubj,1) (root,1) (dead,1) (point,1) 
So/IN	(IN,1) (root,1) (was,1) (VBD,1) (So,1) (dep,1) 
am/VBP	(VBP,1) (aux,1) (root,1) (VB,1) (am,1) (suppose,1) 
