''/VB	('',1) (root,1) (VB,1) 
was/VBD	(root,1) (was,1) (VBD,1) 
4/CD	(think,1) (CD,1) (NNS,1) (months,1) (ccomp,1) (4,1) (VBP,1) (nummod,1) (root,1) 
ones/NNS	(NNS,1) (root,1) (VBD,1) (ones,1) (nsubj,1) (fared,1) 
great/JJ	(NN,1) (JJ,1) (see,1) (remembered,1) (ccomp,1) (root,1) (VBD,1) (trouble,1) (advcl,1) (VB,1) (amod,1) (great,1) 
could/MD	(aux,1) (could,1) (root,1) (MD,1) (feel,1) (VB,1) 
eyes/NNS	(NNS,1) (tell,1) (root,1) (VBD,1) (opened,1) (parataxis,1) (VB,1) (nsubj,1) (eyes,1) 
evils/NNS	(nmod:from,1) (NNS,1) (root,1) (VBD,1) (evils,1) (advcl,1) (ward,1) (kept,1) (VB,1) 
what/WP	(what,1) (root,1) (was,1) (VBD,1) (WP,1) (dobj,1) 
anger/NN	(NN,3) (acl:relcl,1) (given,1) (VBN,2) (nmod:by,1) (nmod:of,1) (crescendo,1) (VB,1) (anger,1) (lashing,1) (multiplied,1) (root,1) (get,1) (advcl,1) (dobj,1) 
'll/MD	(escort,1) (aux,1) (root,1) ('ll,1) (MD,1) (VB,1) 
Actually/RB	(RB,1) (advmod,1) (root,1) (paste,1) (Actually,1) (VBZ,1) 
dismissed/VBD	(root,1) (dismissed,1) (feel,1) (VBD,1) (conj:and,1) (VB,1) 
see/VB	(see,1) (root,1) (VB,1) 
lashing/NN	(NN,1) (given,1) (VBN,1) (lashing,1) (root,1) (get,1) (advcl,1) (VB,1) (dobj,1) 
before/IN	(JJ,1) (NNP,1) (blind,1) (Blinding,1) (before,1) (IN,1) (root,1) (nmod:before,1) (case,1) 
shave/NN	(NN,1) (needed,1) (root,1) (VBD,1) (dobj,1) (shave,1) 
all/DT	(all,1) (DT,1) (root,1) 
stood/VBD	(root,1) (stood,1) (VBD,1) 
bruised/RB	(RB,1) (advmod,1) (bruised,1) (root,1) (felt,1) (VBD,1) 
to/TO	(took,1) (root,1) (me,1) (VBD,1) (to,1) (TO,1) (dobj,1) (case,1) (PRP,1) 
ward/VB	(root,1) (VBD,1) (advcl,1) (ward,1) (kept,1) (VB,1) 
faced/VBD	(pulled,1) (root,1) (VBD,2) (conj:and,1) (faced,1) 
much/RB	(RB,1) (advmod,1) (root,1) (VBG,1) (fighting,1) (much,1) 
words/NNS	(NN,1) (NNS,1) (urgency,1) (nmod:of,1) (root,1) (felt,1) (words,1) (VBD,1) (dobj,1) 
being/VBG	(JJ,1) (root,1) (afraid,1) (auxpass,1) (felt,1) (VBD,2) (roughed,1) (advcl,1) (VBG,1) (conj:and,1) (being,1) 
short/JJ	(NN,1) (JJ,1) (root,1) (short,1) (man,1) (amod,1) 
Bodies/NNS	(NNS,1) (were,1) (root,1) (VBD,1) (Bodies,1) (nsubj,1) 
sweat/NN	(NN,1) (allowed,1) (root,1) (sweat,1) (VBD,1) (nsubj,1) 
allowed/VBD	(allowed,1) (root,1) (VBD,1) 
around/RP	(compound:prt,1) (turned,1) (root,1) (VBD,1) (around,1) (RP,1) 
circled/VBD	(root,1) (VBD,1) (circled,1) 
trouble/NN	(NN,1) (see,1) (remembered,1) (ccomp,1) (root,1) (VBD,1) (trouble,1) (advcl,1) (VB,1) 
connect/VB	(see,1) (ccomp,1) (root,1) (VB,2) (connect,1) 
loud/JJ	(loud,1) (JJ,1) (advmod,1) (root,1) (VBD,1) (repeated,1) 
an/DT	(NN,2) (DT,1) (argument,1) (det,1) (root,1) (nmod:except_for,1) (paste,1) (none,1) (nsubj,1) (an,1) (VBZ,1) 
meant/VBD	(meant,1) (ccomp,1) (needed,1) (root,1) (VBD,3) (pondered,1) (dep,1) 
still/RB	(RB,1) (advmod,1) (still,1) (ccomp,1) (root,1) (stood,1) (VBD,1) (looking,1) (VBG,1) 
covered/VBD	(ccomp,1) (root,1) (covered,1) (VBD,2) (let,1) 
